Name                                 Publisher                                             Version
DatadogLinuxAgent                    Datadog.Agent                                         0.7.0
DatadogLinuxAgent                    Datadog.Agent                                         0.7.1
DatadogLinuxAgent                    Datadog.Agent                                         1.0.0
DatadogWindowsAgent                  Datadog.Agent                                         0.4.1
DatadogWindowsAgent                  Datadog.Agent                                         0.5
DatadogWindowsAgent                  Datadog.Agent                                         0.5.2
DatadogWindowsAgent                  Datadog.Agent                                         0.6.0
DatadogWindowsAgent                  Datadog.Agent                                         0.7.0
DatadogWindowsAgent                  Datadog.Agent                                         0.8.0
DatadogWindowsAgent                  Datadog.Agent                                         1.0.0
dtmanaged                            dynatrace.ruxit                                       1.4.0.11
dtmanaged                            dynatrace.ruxit                                       1.4.0.12
dtmanaged                            dynatrace.ruxit                                       1.4.0.13
oneAgentLinux                        dynatrace.ruxit                                       1.151.0.1
oneAgentLinux                        dynatrace.ruxit                                       1.151.0.2
oneAgentLinux                        dynatrace.ruxit                                       1.163.0.0
oneAgentLinux                        dynatrace.ruxit                                       1.173.0.0
oneAgentLinux                        dynatrace.ruxit                                       1.182.0.0
oneAgentLinux                        dynatrace.ruxit                                       1.99.1.2
oneAgentLinux                        dynatrace.ruxit                                       1.99.2.0
oneAgentLinux                        dynatrace.ruxit                                       1.99.2.1
oneAgentLinux                        dynatrace.ruxit                                       2.163.0.0
oneAgentLinux                        dynatrace.ruxit                                       2.173.0.0
oneAgentLinux                        dynatrace.ruxit                                       2.182.0.0
oneAgentLinux                        dynatrace.ruxit                                       2.183.0.0
oneAgentLinux                        dynatrace.ruxit                                       2.2.0.0
oneAgentLinux                        dynatrace.ruxit                                       2.2.0.1
oneAgentLinux                        dynatrace.ruxit                                       2.2.0.2
oneAgentLinux                        dynatrace.ruxit                                       2.3.0.0
oneAgentLinux                        dynatrace.ruxit                                       2.3.0.1
oneAgentLinux                        dynatrace.ruxit                                       2.3.0.2
oneAgentManagedWindows               dynatrace.ruxit                                       1.0.0.4
oneAgentWindows                      dynatrace.ruxit                                       1.150.0.1
oneAgentWindows                      dynatrace.ruxit                                       1.151.0.2
oneAgentWindows                      dynatrace.ruxit                                       1.163.0.0
oneAgentWindows                      dynatrace.ruxit                                       1.173.0.0
oneAgentWindows                      dynatrace.ruxit                                       1.182.0.0
oneAgentWindows                      dynatrace.ruxit                                       1.99.1.1
oneAgentWindows                      dynatrace.ruxit                                       1.99.1.2
oneAgentWindows                      dynatrace.ruxit                                       1.99.1.3
oneAgentWindows                      dynatrace.ruxit                                       2.163.0.0
oneAgentWindows                      dynatrace.ruxit                                       2.173.0.0
oneAgentWindows                      dynatrace.ruxit                                       2.182.0.0
oneAgentWindows                      dynatrace.ruxit                                       2.183.0.0
oneAgentWindows                      dynatrace.ruxit                                       2.2.0.0
oneAgentWindows                      dynatrace.ruxit                                       2.2.0.1
oneAgentWindows                      dynatrace.ruxit                                       2.2.0.2
oneAgentWindows                      dynatrace.ruxit                                       2.3.0.2
FileSecurity                         ESET                                                  6.5.12017.1000
FileSecurity                         ESET                                                  7.0.12014.1002
FileSecurity                         ESET                                                  7.0.12018.1001
FileSecurity                         ESET                                                  7.1.12006.1000
ProtectVClientLinuxExtension         Gemalto.SafeNet.ProtectV                              3.0.0.205
ProtectVClientWindowsExtension       Gemalto.SafeNet.ProtectV                              3.0.0.318
DotnetAgent                          HPE.Security.ApplicationDefender                      1.0.0.2
DotnetAgent                          HPE.Security.ApplicationDefender                      1.0.0.4
DotnetAgent                          HPE.Security.ApplicationDefender                      1.6.13.0
DotnetAgent                          HPE.Security.ApplicationDefender                      1.6.14.0
DotnetAgent                          HPE.Security.ApplicationDefender                      1.6.9.0
KESL                                 KasperskyLab.SecurityAgent                            1.0.0.0
KESL                                 KasperskyLab.SecurityAgent                            1.0.1.0
KSWS                                 KasperskyLab.SecurityAgent                            1.0.0.0
KSWS                                 KasperskyLab.SecurityAgent                            1.0.1.0
McAfeeEndpointSecurity               McAfee.EndpointSecurity                               6.0
Compute.AKS-Engine.Linux.Billing     Microsoft.AKS                                         1.0.0
AADLoginForWindows                   Microsoft.Azure.ActiveDirectory                       0.3.0.0
AADLoginForWindows                   Microsoft.Azure.ActiveDirectory                       0.3.1.0
AADLoginForWindows                   Microsoft.Azure.ActiveDirectory                       0.4.1.0
AADLoginForWindows                   Microsoft.Azure.ActiveDirectory                       0.4.1.1
AADLoginForWindows                   Microsoft.Azure.ActiveDirectory                       1.0.0.0
IaaS47C6E03DTest                     Microsoft.Azure.Applications                          1.0.0.3
MyBackupTest                         Microsoft.Azure.Backup.Test                           1.0.127.0
MyBackupTest                         Microsoft.Azure.Backup.Test                           1.0.128.0
MyBackupTest                         Microsoft.Azure.Backup.Test                           1.0.129.0
MyBackupTest                         Microsoft.Azure.Backup.Test                           1.0.130.0
MyBackupTest                         Microsoft.Azure.Backup.Test                           1.0.132.0
MyBackupTest                         Microsoft.Azure.Backup.Test                           1.0.133.0
MyBackupTest                         Microsoft.Azure.Backup.Test                           1.0.134.0
Compute.AKS-Engine.Windows.Billing   Microsoft.AKS                                         1.0.0
AADLoginForLinux                     Microsoft.Azure.ActiveDirectory.LinuxSSH              1.0.4870001
AADLoginForLinux                     Microsoft.Azure.ActiveDirectory.LinuxSSH              1.0.4890001
AADLoginForLinux                     Microsoft.Azure.ActiveDirectory.LinuxSSH              1.0.5160001
AADLoginForLinux                     Microsoft.Azure.ActiveDirectory.LinuxSSH              1.0.5920001
AADLoginForLinux                     Microsoft.Azure.ActiveDirectory.LinuxSSH              1.0.6350001
AADLoginForLinux                     Microsoft.Azure.ActiveDirectory.LinuxSSH              1.0.6430001
AADLoginForLinux                     Microsoft.Azure.ActiveDirectory.LinuxSSH              1.0.8370001
Compute.AKS.Linux.AKSNode            Microsoft.AKS                                         1.0.0.0
MyBackupTestLinuxInt                 Microsoft.Azure.Backup.Test                           1.0.9161.0
Compute.AKS.Linux.Billing            Microsoft.AKS                                         1.0.0
Compute.AKS.Windows.Billing          Microsoft.AKS                                         1.0.0
ApplicationMonitoringWindows         Microsoft.Azure.Diagnostics                           2.8.19
ApplicationMonitoringWindows         Microsoft.Azure.Diagnostics                           2.8.22
ApplicationMonitoringWindows         Microsoft.Azure.Diagnostics                           2.8.25
ApplicationMonitoringWindows         Microsoft.Azure.Diagnostics                           2.8.31
ApplicationMonitoringWindows         Microsoft.Azure.Diagnostics                           2.8.33
CustomScript                         Microsoft.Azure.Extensions                            2.0.0
CustomScript                         Microsoft.Azure.Extensions                            2.0.1
CustomScript                         Microsoft.Azure.Extensions                            2.0.2
CustomScript                         Microsoft.Azure.Extensions                            2.0.3
CustomScript                         Microsoft.Azure.Extensions                            2.0.4
CustomScript                         Microsoft.Azure.Extensions                            2.0.5
CustomScript                         Microsoft.Azure.Extensions                            2.0.6
CustomScript                         Microsoft.Azure.Extensions                            2.0.7
CustomScript                         Microsoft.Azure.Extensions                            2.1.1
CustomScript                         Microsoft.Azure.Extensions                            2.1.2
CustomScript                         Microsoft.Azure.Extensions                            2.1.3
IaaSDiagnostics                      Microsoft.Azure.Diagnostics                           1.1.0.0
IaaSDiagnostics                      Microsoft.Azure.Diagnostics                           1.10.0.0
IaaSDiagnostics                      Microsoft.Azure.Diagnostics                           1.10.0.1
IaaSDiagnostics                      Microsoft.Azure.Diagnostics                           1.10.1.1
IaaSDiagnostics                      Microsoft.Azure.Diagnostics                           1.11.0.0
IaaSDiagnostics                      Microsoft.Azure.Diagnostics                           1.11.1.0
IaaSDiagnostics                      Microsoft.Azure.Diagnostics                           1.11.2.0
IaaSDiagnostics                      Microsoft.Azure.Diagnostics                           1.11.3.0
IaaSDiagnostics                      Microsoft.Azure.Diagnostics                           1.11.3.1
IaaSDiagnostics                      Microsoft.Azure.Diagnostics                           1.11.3.12
IaaSDiagnostics                      Microsoft.Azure.Diagnostics                           1.11.3.5
IaaSDiagnostics                      Microsoft.Azure.Diagnostics                           1.11.3.7
IaaSDiagnostics                      Microsoft.Azure.Diagnostics                           1.11.3.9
IaaSDiagnostics                      Microsoft.Azure.Diagnostics                           1.12.0.0
IaaSDiagnostics                      Microsoft.Azure.Diagnostics                           1.12.1.0
IaaSDiagnostics                      Microsoft.Azure.Diagnostics                           1.12.2.2
IaaSDiagnostics                      Microsoft.Azure.Diagnostics                           1.12.2.8
IaaSDiagnostics                      Microsoft.Azure.Diagnostics                           1.14.0.1
IaaSDiagnostics                      Microsoft.Azure.Diagnostics                           1.16.0.0
IaaSDiagnostics                      Microsoft.Azure.Diagnostics                           1.16.0.1
IaaSDiagnostics                      Microsoft.Azure.Diagnostics                           1.16.0.2
IaaSDiagnostics                      Microsoft.Azure.Diagnostics                           1.16.0.3
IaaSDiagnostics                      Microsoft.Azure.Diagnostics                           1.16.0.4
IaaSDiagnostics                      Microsoft.Azure.Diagnostics                           1.17.0.2
IaaSDiagnostics                      Microsoft.Azure.Diagnostics                           1.17.0.4
IaaSDiagnostics                      Microsoft.Azure.Diagnostics                           1.17.0.6
IaaSDiagnostics                      Microsoft.Azure.Diagnostics                           1.17.0.7
IaaSDiagnostics                      Microsoft.Azure.Diagnostics                           1.2.0.0
IaaSDiagnostics                      Microsoft.Azure.Diagnostics                           1.3.1.6
IaaSDiagnostics                      Microsoft.Azure.Diagnostics                           1.4.2.1
IaaSDiagnostics                      Microsoft.Azure.Diagnostics                           1.5.9.0
IaaSDiagnostics                      Microsoft.Azure.Diagnostics                           1.6.2.0
IaaSDiagnostics                      Microsoft.Azure.Diagnostics                           1.6.3.0
IaaSDiagnostics                      Microsoft.Azure.Diagnostics                           1.6.4.0
IaaSDiagnostics                      Microsoft.Azure.Diagnostics                           1.7.1.0
IaaSDiagnostics                      Microsoft.Azure.Diagnostics                           1.7.3.0
IaaSDiagnostics                      Microsoft.Azure.Diagnostics                           1.7.4.0
IaaSDiagnostics                      Microsoft.Azure.Diagnostics                           1.8.0.0
IaaSDiagnostics                      Microsoft.Azure.Diagnostics                           1.8.1.0
IaaSDiagnostics                      Microsoft.Azure.Diagnostics                           1.9.0.0
DockerExtension                      Microsoft.Azure.Extensions                            1.0.1512030601
DockerExtension                      Microsoft.Azure.Extensions                            1.1.1512090359
DockerExtension                      Microsoft.Azure.Extensions                            1.1.1512180541
DockerExtension                      Microsoft.Azure.Extensions                            1.1.1601070410
DockerExtension                      Microsoft.Azure.Extensions                            1.1.1601140348
DockerExtension                      Microsoft.Azure.Extensions                            1.1.1602270800
DockerExtension                      Microsoft.Azure.Extensions                            1.1.1604142300
DockerExtension                      Microsoft.Azure.Extensions                            1.1.1606092330
DockerExtension                      Microsoft.Azure.Extensions                            1.2.0
DockerExtension                      Microsoft.Azure.Extensions                            1.2.2
FixEmulatedIO                        Microsoft.Azure.Extensions                            1.0.0
LinuxDiagnostic                      Microsoft.Azure.Diagnostics                           3.0.101
LinuxDiagnostic                      Microsoft.Azure.Diagnostics                           3.0.103
LinuxDiagnostic                      Microsoft.Azure.Diagnostics                           3.0.107
LinuxDiagnostic                      Microsoft.Azure.Diagnostics                           3.0.109
LinuxDiagnostic                      Microsoft.Azure.Diagnostics                           3.0.111
LinuxDiagnostic                      Microsoft.Azure.Diagnostics                           3.0.113
LinuxDiagnostic                      Microsoft.Azure.Diagnostics                           3.0.115
LinuxDiagnostic                      Microsoft.Azure.Diagnostics                           3.0.117
LinuxDiagnostic                      Microsoft.Azure.Diagnostics                           3.0.119
LinuxDiagnostic                      Microsoft.Azure.Diagnostics                           3.0.121
LinuxDiagnostic                      Microsoft.Azure.Diagnostics                           3.0.123
LinuxDiagnostic                      Microsoft.Azure.Diagnostics                           3.0.125
LinuxDiagnostic                      Microsoft.Azure.Diagnostics                           3.0.127
FixLinuxDiagnostic                   Microsoft.Azure.Extensions                            1.0.0
GuestActionForLinux                  Microsoft.Azure.Extensions                            1.0.0
GuestActionForWindows                Microsoft.Azure.Extensions                            1.0.0
LinuxAsm                             Microsoft.Azure.Extensions                            2.0.1
LinuxAsm                             Microsoft.Azure.Extensions                            2.1.0
LinuxAsm                             Microsoft.Azure.Extensions                            2.1.1
LinuxAsm                             Microsoft.Azure.Extensions                            2.2.0
LinuxAsm                             Microsoft.Azure.Extensions                            2.2.1
LinuxAsm                             Microsoft.Azure.Extensions                            2.2.2
LinuxAsm                             Microsoft.Azure.Extensions                            2.2.3
LinuxAsm                             Microsoft.Azure.Extensions                            2.2.4
LinuxAsm                             Microsoft.Azure.Extensions                            2.2.5
FileServerIaaS                       Microsoft.Azure.FileServer.Edp                        1.0.0.1
GenevaMonitoring                     Microsoft.Azure.Geneva                                1.0.0.3
GenevaMonitoring                     Microsoft.Azure.Geneva                                1.0.0.6
GenevaMonitoring                     Microsoft.Azure.Geneva                                1.0.0.8
GenevaMonitoring                     Microsoft.Azure.Geneva                                1.10.0.2
GenevaMonitoring                     Microsoft.Azure.Geneva                                1.10.0.3
GenevaMonitoring                     Microsoft.Azure.Geneva                                1.14.0.2
GenevaMonitoring                     Microsoft.Azure.Geneva                                1.8.0.2
GenevaMonitoring                     Microsoft.Azure.Geneva                                1.8.0.3
GenevaMonitoring                     Microsoft.Azure.Geneva                                1.8.0.4
GenevaMonitoring                     Microsoft.Azure.Geneva                                2.0.0.2
GenevaMonitoring                     Microsoft.Azure.Geneva                                2.1.0.1
GenevaMonitoring                     Microsoft.Azure.Geneva                                2.10.0.1
GenevaMonitoring                     Microsoft.Azure.Geneva                                2.12.0.1
GenevaMonitoring                     Microsoft.Azure.Geneva                                2.15.0.1
GenevaMonitoring                     Microsoft.Azure.Geneva                                2.16.0.1
GenevaMonitoring                     Microsoft.Azure.Geneva                                2.2.0.3
GenevaMonitoring                     Microsoft.Azure.Geneva                                2.3.0.1
GenevaMonitoring                     Microsoft.Azure.Geneva                                2.4.0.1
GenevaMonitoring                     Microsoft.Azure.Geneva                                2.5.0.3
KeyVaultForLinux                     Microsoft.Azure.KeyVault.Edp                          1.0.1048.17
KeyVaultForLinux                     Microsoft.Azure.KeyVault.Edp                          1.0.1125.18
KeyVaultForLinux                     Microsoft.Azure.KeyVault.Edp                          1.0.1171.19
KeyVaultForLinux                     Microsoft.Azure.KeyVault                              0.3.907.5
KeyVaultForLinux                     Microsoft.Azure.KeyVault                              1.0.1052.7
KeyVaultForLinux                     Microsoft.Azure.KeyVault                              1.0.1114.12
KeyVaultForLinux                     Microsoft.Azure.KeyVault                              1.0.1172.13
KeyVaultForLinux                     Microsoft.Azure.KeyVault                              1.0.921.6
AzureMonitorWindowsAgent             Microsoft.Azure.Monitor                               1.0.3.0
AzureMonitorWindowsAgent             Microsoft.Azure.Monitor                               1.0.4.0
Workload.LinuxConfigAgent            Microsoft.Azure.Monitor.WorkloadInsights.Test         2.2.1
KeyVaultForWindows                   Microsoft.Azure.KeyVault.Edp                          0.3.905.13
KeyVaultForWindows                   Microsoft.Azure.KeyVault.Edp                          0.3.906.14
KeyVaultForWindows                   Microsoft.Azure.KeyVault.Edp                          0.3.907.15
KeyVaultForWindows                   Microsoft.Azure.KeyVault.Edp                          1.0.1112.20
KeyVaultForWindows                   Microsoft.Azure.KeyVault.Edp                          1.0.1171.21
KeyVaultForWindows                   Microsoft.Azure.KeyVault.Edp                          1.0.1201.22
KeyVaultForWindows                   Microsoft.Azure.KeyVault                              0.1.0.717
KeyVaultForWindows                   Microsoft.Azure.KeyVault                              0.2.0.898
KeyVaultForWindows                   Microsoft.Azure.KeyVault                              0.3.907.5
KeyVaultForWindows                   Microsoft.Azure.KeyVault                              1.0.1076.8
KeyVaultForWindows                   Microsoft.Azure.KeyVault                              1.0.1082.9
KeyVaultForWindows                   Microsoft.Azure.KeyVault                              1.0.1114.10
KeyVaultForWindows                   Microsoft.Azure.KeyVault                              1.0.1172.11
KeyVaultForWindows                   Microsoft.Azure.KeyVault                              1.0.1201.12
KeyVaultForWindows                   Microsoft.Azure.KeyVault                              1.0.921.6
Workload.LinuxInstallerAgent         Microsoft.Azure.Monitor.WorkloadInsights.Test         11.0.3
Aquarius                             Microsoft.Azure.Networking.SDN                        4.2.0.0
Aquarius                             Microsoft.Azure.Networking.SDN                        5.0.0.0
DependencyAgentLinux                 Microsoft.Azure.Monitoring.DependencyAgent            9.1.0.886
DependencyAgentLinux                 Microsoft.Azure.Monitoring.DependencyAgent            9.10.0.7820
DependencyAgentLinux                 Microsoft.Azure.Monitoring.DependencyAgent            9.10.2.9060
DependencyAgentLinux                 Microsoft.Azure.Monitoring.DependencyAgent            9.10.3.9380
DependencyAgentLinux                 Microsoft.Azure.Monitoring.DependencyAgent            9.2.0.1001
DependencyAgentLinux                 Microsoft.Azure.Monitoring.DependencyAgent            9.2.1.1014
DependencyAgentLinux                 Microsoft.Azure.Monitoring.DependencyAgent            9.3.0.1058
DependencyAgentLinux                 Microsoft.Azure.Monitoring.DependencyAgent            9.4.2.1150
DependencyAgentLinux                 Microsoft.Azure.Monitoring.DependencyAgent            9.5.0.1174
DependencyAgentLinux                 Microsoft.Azure.Monitoring.DependencyAgent            9.5.1.1204
DependencyAgentLinux                 Microsoft.Azure.Monitoring.DependencyAgent            9.6.2.1366
DependencyAgentLinux                 Microsoft.Azure.Monitoring.DependencyAgent            9.7.1.1416
DependencyAgentLinux                 Microsoft.Azure.Monitoring.DependencyAgent            9.7.3.1475
DependencyAgentLinux                 Microsoft.Azure.Monitoring.DependencyAgent            9.7.4.3150
DependencyAgentLinux                 Microsoft.Azure.Monitoring.DependencyAgent            9.8.1.4830
DependencyAgentLinux                 Microsoft.Azure.Monitoring.DependencyAgent            9.8.2.5440
DependencyAgentLinux                 Microsoft.Azure.Monitoring.DependencyAgent            9.9.0.6300
DependencyAgentLinux                 Microsoft.Azure.Monitoring.DependencyAgent            9.9.1.7050
WindowsOpenSSH                       Microsoft.Azure.OpenSSH                               1.0.0.2
WindowsOpenSSH                       Microsoft.Azure.OpenSSH                               1.0.0.3
WindowsOpenSSH                       Microsoft.Azure.OpenSSH                               1.0.0.4
WindowsOpenSSH                       Microsoft.Azure.OpenSSH                               1.0.0.6
AquariusLinux                        Microsoft.Azure.Networking.SDN                        1.4.0.0
AquariusLinux                        Microsoft.Azure.Networking.SDN                        1.5.0.0
AquariusLinux                        Microsoft.Azure.Networking.SDN                        1.6.0.0
NetworkWatcherAgentLinux             Microsoft.Azure.NetworkWatcher                        1.4.105.0
NetworkWatcherAgentLinux             Microsoft.Azure.NetworkWatcher                        1.4.1210.1
NetworkWatcherAgentLinux             Microsoft.Azure.NetworkWatcher                        1.4.1252.1
NetworkWatcherAgentLinux             Microsoft.Azure.NetworkWatcher                        1.4.1325.1
NetworkWatcherAgentLinux             Microsoft.Azure.NetworkWatcher                        1.4.1421.1
NetworkWatcherAgentLinux             Microsoft.Azure.NetworkWatcher                        1.4.306.5
NetworkWatcherAgentLinux             Microsoft.Azure.NetworkWatcher                        1.4.411.1
NetworkWatcherAgentLinux             Microsoft.Azure.NetworkWatcher                        1.4.466.1
NetworkWatcherAgentLinux             Microsoft.Azure.NetworkWatcher                        1.4.493.1
NetworkWatcherAgentLinux             Microsoft.Azure.NetworkWatcher                        1.4.518.1
NetworkWatcherAgentLinux             Microsoft.Azure.NetworkWatcher                        1.4.526.2
NetworkWatcherAgentLinux             Microsoft.Azure.NetworkWatcher                        1.4.585.2
NetworkWatcherAgentLinux             Microsoft.Azure.NetworkWatcher                        1.4.861.1
NetworkWatcherAgentLinux             Microsoft.Azure.NetworkWatcher                        1.4.861.2
NetworkWatcherAgentLinux             Microsoft.Azure.NetworkWatcher                        1.4.905.3
DependencyAgentWindows               Microsoft.Azure.Monitoring.DependencyAgent            9.1.0.886
DependencyAgentWindows               Microsoft.Azure.Monitoring.DependencyAgent            9.10.0.7820
DependencyAgentWindows               Microsoft.Azure.Monitoring.DependencyAgent            9.10.2.9060
DependencyAgentWindows               Microsoft.Azure.Monitoring.DependencyAgent            9.10.3.9380
DependencyAgentWindows               Microsoft.Azure.Monitoring.DependencyAgent            9.2.0.1001
DependencyAgentWindows               Microsoft.Azure.Monitoring.DependencyAgent            9.2.1.1014
DependencyAgentWindows               Microsoft.Azure.Monitoring.DependencyAgent            9.3.0.1058
DependencyAgentWindows               Microsoft.Azure.Monitoring.DependencyAgent            9.4.1.1134
DependencyAgentWindows               Microsoft.Azure.Monitoring.DependencyAgent            9.5.0.1174
DependencyAgentWindows               Microsoft.Azure.Monitoring.DependencyAgent            9.6.2.1366
DependencyAgentWindows               Microsoft.Azure.Monitoring.DependencyAgent            9.7.1.1416
DependencyAgentWindows               Microsoft.Azure.Monitoring.DependencyAgent            9.7.3.1475
DependencyAgentWindows               Microsoft.Azure.Monitoring.DependencyAgent            9.7.4.3150
DependencyAgentWindows               Microsoft.Azure.Monitoring.DependencyAgent            9.7.5.3590
DependencyAgentWindows               Microsoft.Azure.Monitoring.DependencyAgent            9.7.7.4050
DependencyAgentWindows               Microsoft.Azure.Monitoring.DependencyAgent            9.7.8.4180
DependencyAgentWindows               Microsoft.Azure.Monitoring.DependencyAgent            9.8.1.4830
DependencyAgentWindows               Microsoft.Azure.Monitoring.DependencyAgent            9.8.2.5440
DependencyAgentWindows               Microsoft.Azure.Monitoring.DependencyAgent            9.9.0.6300
DependencyAgentWindows               Microsoft.Azure.Monitoring.DependencyAgent            9.9.1.7050
DependencyAgentWindows               Microsoft.Azure.Monitoring.DependencyAgent            9.9.2.7270
AzurePerformanceDiagnostics          Microsoft.Azure.Performance.Diagnostics               1.0.1
AzurePerformanceDiagnostics          Microsoft.Azure.Performance.Diagnostics               1.0.10
AzurePerformanceDiagnostics          Microsoft.Azure.Performance.Diagnostics               1.0.11
AzurePerformanceDiagnostics          Microsoft.Azure.Performance.Diagnostics               1.0.12
AzurePerformanceDiagnostics          Microsoft.Azure.Performance.Diagnostics               1.0.13
AzurePerformanceDiagnostics          Microsoft.Azure.Performance.Diagnostics               1.0.2
AzurePerformanceDiagnostics          Microsoft.Azure.Performance.Diagnostics               1.0.5
AzurePerformanceDiagnostics          Microsoft.Azure.Performance.Diagnostics               1.0.6
AzurePerformanceDiagnostics          Microsoft.Azure.Performance.Diagnostics               1.0.7
AzurePerformanceDiagnostics          Microsoft.Azure.Performance.Diagnostics               1.0.8
AzurePerformanceDiagnostics          Microsoft.Azure.Performance.Diagnostics               1.0.9
NetworkWatcherAgentWindows           Microsoft.Azure.NetworkWatcher                        1.4.104.0
NetworkWatcherAgentWindows           Microsoft.Azure.NetworkWatcher                        1.4.1210.1
NetworkWatcherAgentWindows           Microsoft.Azure.NetworkWatcher                        1.4.1252.1
NetworkWatcherAgentWindows           Microsoft.Azure.NetworkWatcher                        1.4.1265.3
NetworkWatcherAgentWindows           Microsoft.Azure.NetworkWatcher                        1.4.1325.1
NetworkWatcherAgentWindows           Microsoft.Azure.NetworkWatcher                        1.4.1421.1
NetworkWatcherAgentWindows           Microsoft.Azure.NetworkWatcher                        1.4.306.5
NetworkWatcherAgentWindows           Microsoft.Azure.NetworkWatcher                        1.4.411.1
NetworkWatcherAgentWindows           Microsoft.Azure.NetworkWatcher                        1.4.466.1
NetworkWatcherAgentWindows           Microsoft.Azure.NetworkWatcher                        1.4.493.1
NetworkWatcherAgentWindows           Microsoft.Azure.NetworkWatcher                        1.4.518.1
NetworkWatcherAgentWindows           Microsoft.Azure.NetworkWatcher                        1.4.526.2
NetworkWatcherAgentWindows           Microsoft.Azure.NetworkWatcher                        1.4.585.2
NetworkWatcherAgentWindows           Microsoft.Azure.NetworkWatcher                        1.4.861.1
NetworkWatcherAgentWindows           Microsoft.Azure.NetworkWatcher                        1.4.861.2
NetworkWatcherAgentWindows           Microsoft.Azure.NetworkWatcher                        1.4.905.3
AzurePerformanceDiagnosticsLinux     Microsoft.Azure.Performance.Diagnostics               1.1.3
VMSnapshot                           Microsoft.Azure.RecoveryServices                      1.0.46.0
VMSnapshot                           Microsoft.Azure.RecoveryServices                      1.0.47.0
VMSnapshot                           Microsoft.Azure.RecoveryServices                      1.0.49.0
VMSnapshot                           Microsoft.Azure.RecoveryServices                      1.0.53.0
VMSnapshot                           Microsoft.Azure.RecoveryServices                      1.0.54.0
VMSnapshot                           Microsoft.Azure.RecoveryServices                      1.0.55.0
VMSnapshot                           Microsoft.Azure.RecoveryServices                      1.0.57.0
VMSnapshot                           Microsoft.Azure.RecoveryServices                      1.0.60.0
VMSnapshot                           Microsoft.Azure.RecoveryServices                      1.0.61.0
VMSnapshot                           Microsoft.Azure.RecoveryServices                      1.0.62.0
